"filename", "language", "JSON", "Markdown", "XML", "JavaScript", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"d:\Websites\medamineck.github.io\404.html", "HTML", 0, 0, 0, 0, 50, 0, 0, 1, 12, 63
"d:\Websites\medamineck.github.io\Portfolio.iml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\Websites\medamineck.github.io\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Websites\medamineck.github.io\browserconfig.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"d:\Websites\medamineck.github.io\css\_default.scss", "SCSS", 0, 0, 0, 0, 0, 50, 0, 1, 12, 63
"d:\Websites\medamineck.github.io\css\_mobile_module.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 0, 13, 86
"d:\Websites\medamineck.github.io\css\_module.scss", "SCSS", 0, 0, 0, 0, 0, 74, 0, 0, 13, 87
"d:\Websites\medamineck.github.io\css\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 55, 0, 1, 8, 64
"d:\Websites\medamineck.github.io\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 129, 91, 44, 264
"d:\Websites\medamineck.github.io\css\mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 869, 12, 23, 904
"d:\Websites\medamineck.github.io\css\mobile.scss", "SCSS", 0, 0, 0, 0, 0, 756, 0, 13, 138, 907
"d:\Websites\medamineck.github.io\css\module.css", "CSS", 0, 0, 0, 0, 0, 0, 88, 1, 12, 101
"d:\Websites\medamineck.github.io\css\normalize.css", "CSS", 0, 0, 0, 0, 0, 0, 146, 129, 75, 350
"d:\Websites\medamineck.github.io\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 1034, 0, 23, 1057
"d:\Websites\medamineck.github.io\css\style.scss", "SCSS", 0, 0, 0, 0, 0, 927, 0, 0, 136, 1063
"d:\Websites\medamineck.github.io\doc\TOC.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"d:\Websites\medamineck.github.io\doc\css.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 13, 45
"d:\Websites\medamineck.github.io\doc\extend.md", "Markdown", 0, 444, 0, 0, 0, 0, 0, 0, 162, 606
"d:\Websites\medamineck.github.io\doc\faq.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 11, 43
"d:\Websites\medamineck.github.io\doc\html.md", "Markdown", 0, 191, 0, 0, 0, 0, 0, 0, 63, 254
"d:\Websites\medamineck.github.io\doc\js.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 12, 36
"d:\Websites\medamineck.github.io\doc\misc.md", "Markdown", 0, 153, 0, 0, 0, 0, 0, 0, 51, 204
"d:\Websites\medamineck.github.io\doc\usage.md", "Markdown", 0, 98, 0, 0, 0, 0, 0, 0, 39, 137
"d:\Websites\medamineck.github.io\img\patern.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Websites\medamineck.github.io\img\pattern.svg", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\Websites\medamineck.github.io\index.html", "HTML", 0, 0, 0, 0, 575, 0, 0, 2, 24, 601
"d:\Websites\medamineck.github.io\js\main.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 12, 7, 57
"d:\Websites\medamineck.github.io\js\mobile.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 3, 5, 22
"d:\Websites\medamineck.github.io\js\plugins.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 3, 4, 25
"d:\Websites\medamineck.github.io\js\vendor\jquery-3.5.1.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\Websites\medamineck.github.io\js\vendor\modernizr-3.11.2.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"d:\Websites\medamineck.github.io\package-lock.json", "JSON", 7450, 0, 0, 0, 0, 0, 0, 0, 1, 7451
"d:\Websites\medamineck.github.io\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\Websites\medamineck.github.io\site.webmanifest", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 7479, 1003, 37, 72, 625, 1935, 2266, 273, 917, 14607
